YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-01,Aethiopien,225,113,111,2,42,0,5,0,3,13,21,3500,71,0,5,0,3,13,19,0,0,0,0,0,0,2
2016-02,Aethiopien,225,104,102,2,75,1,11,0,5,28,30,3563,70,1,11,0,5,27,28,0,0,0,0,1,0,2
2016-03,Aethiopien,225,82,74,8,59,0,6,2,6,30,15,3615,75,0,5,2,6,30,14,0,1,0,0,0,1,0
2016-04,Aethiopien,225,168,166,2,114,0,7,0,8,85,14,3696,79,0,7,0,8,85,11,0,0,0,0,0,1,2
2016-05,Aethiopien,225,127,124,3,107,0,15,1,6,78,7,3771,78,0,15,1,5,78,5,0,0,0,1,0,1,1
2016-06,Aethiopien,225,353,349,4,93,0,8,0,5,47,33,4134,75,0,8,0,5,40,32,0,0,0,0,7,1,0
2016-07,Aethiopien,225,489,487,2,80,1,9,1,2,40,27,4624,78,1,9,1,2,40,27,0,0,0,0,0,0,0
2016-08,Aethiopien,225,664,660,4,128,1,16,1,5,83,22,5270,77,1,16,0,5,80,20,0,0,1,0,3,1,1
2016-09,Aethiopien,225,612,610,2,61,0,2,0,6,33,20,5927,74,0,2,0,6,31,15,0,0,0,0,2,5,0
2016-10,Aethiopien,225,410,405,5,96,0,6,2,9,50,29,6339,80,0,6,2,9,50,27,0,0,0,0,0,1,1
2016-11,Aethiopien,225,263,259,4,229,0,23,1,6,128,71,6476,80,0,23,1,6,128,67,0,0,0,0,0,3,1
2016-12,Aethiopien,225,170,168,2,372,4,45,2,17,148,156,6374,85,4,45,2,16,148,153,0,0,0,1,0,0,3
2017-01,Aethiopien,225,183,177,6,543,2,65,15,27,152,282,6109,87,2,65,15,27,152,278,0,0,0,0,0,0,4
2017-02,Aethiopien,225,101,94,7,822,1,101,32,40,423,225,5535,83,1,101,32,40,420,216,0,0,0,0,3,8,1
2017-03,Aethiopien,225,124,117,7,1052,3,122,16,53,704,154,4782,75,3,122,16,52,701,137,0,0,0,1,3,14,3
2017-04,Aethiopien,225,94,89,5,903,1,104,18,56,630,94,4118,70,1,104,18,55,624,86,0,0,0,1,6,6,2
2017-06,Aethiopien,225,111,107,4,740,0,83,16,65,519,57,2138,57,0,80,16,64,515,42,0,3,0,1,4,12,3
2017-07,Aethiopien,225,100,95,5,804,1,90,16,69,531,97,1615,43,1,90,16,64,527,62,0,0,0,5,4,17,18
