YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Gambia,237,347,341,6,525,1,10,4,6,227,277,8912,243,1,10,4,6,224,268,0,0,0,0,3,6,3
2017-02,Gambia,237,216,213,3,640,0,14,2,3,325,296,8507,243,0,14,2,3,325,287,0,0,0,0,0,5,4
2017-03,Gambia,237,288,276,12,844,0,29,8,8,501,298,7956,249,0,29,8,8,498,293,0,0,0,0,3,2,3
2017-04,Gambia,237,190,186,4,757,0,16,3,22,398,318,7420,234,0,16,3,21,389,303,0,0,0,1,9,8,7
2017-05,Gambia,237,190,176,14,1367,1,37,5,22,928,374,6258,221,1,37,5,22,920,355,0,0,0,0,8,8,11
2017-06,Gambia,237,171,165,6,852,0,7,3,11,573,258,5568,235,0,7,3,11,570,244,0,0,0,0,3,5,9
2017-07,Gambia,237,153,147,6,819,0,11,6,15,521,266,4961,201,0,11,6,11,510,238,0,0,0,4,11,13,15
2017-08,Gambia,237,235,223,12,1093,0,14,3,15,696,365,4159,189,0,14,3,15,679,332,0,0,0,0,17,8,25
2017-09,Gambia,237,201,193,8,684,1,16,3,15,401,248,3693,181,1,16,3,15,395,227,0,0,0,0,6,6,15
2017-10,Gambia,237,214,198,16,790,1,14,1,22,473,279,3135,170,1,14,1,21,463,241,0,0,0,1,10,8,30
2017-11,Gambia,237,249,235,14,709,1,29,2,19,418,240,2714,174,1,29,2,18,414,192,0,0,0,1,4,7,41
2017-12,Gambia,237,185,175,10,761,0,16,12,31,423,279,2212,150,0,15,12,30,412,214,0,1,0,1,11,9,56
2018-01,Gambia,237,221,205,16,849,0,26,3,23,528,269,1622,125,0,25,3,22,515,212,0,1,0,1,13,10,47
2018-02,Gambia,237,200,177,23,616,1,28,3,21,347,216,1297,114,1,27,3,17,340,176,0,1,0,4,7,14,26
2018-03,Gambia,237,157,136,21,561,0,20,2,11,338,190,1013,96,0,20,2,11,323,139,0,0,0,0,15,15,36
2018-04,Gambia,237,100,86,14,541,1,8,0,18,344,170,689,94,1,8,0,18,335,134,0,0,0,0,9,6,30
2018-05,Gambia,237,87,73,14,368,2,3,1,11,230,121,526,63,2,3,1,11,213,70,0,0,0,0,17,9,42
2018-06,Gambia,237,89,79,10,223,0,4,2,9,127,81,465,58,0,4,1,9,124,61,0,0,1,0,3,8,12
2018-07,Gambia,237,121,101,20,212,0,4,0,5,116,87,454,55,0,4,0,4,113,61,0,0,0,1,3,11,15
2018-08,Gambia,237,98,79,19,211,0,7,0,10,97,97,416,53,0,7,0,9,90,65,0,0,0,1,7,11,21
2018-09,Gambia,237,75,60,15,174,0,4,0,7,85,78,385,50,0,4,0,6,83,63,0,0,0,1,2,10,5
2018-10,Gambia,237,135,122,13,233,1,4,1,15,133,79,375,44,1,4,1,15,130,58,0,0,0,0,3,11,10
2018-11,Gambia,237,112,92,20,268,1,8,0,1,146,112,319,48,1,8,0,1,138,94,0,0,0,0,8,10,8
2018-12,Gambia,237,79,66,13,152,0,2,0,7,64,79,296,47,0,2,0,6,62,62,0,0,0,1,2,10,7
