YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Libyen,248,103,101,2,263,7,24,8,14,120,90,972,46,4,23,8,14,119,86,3,1,0,0,1,0,4
2017-02,Libyen,248,88,88,0,180,12,25,15,2,53,73,881,37,12,25,15,2,49,69,0,0,0,0,4,1,3
2017-03,Libyen,248,88,81,7,195,10,32,27,5,36,85,762,36,10,31,27,5,34,80,0,1,0,0,2,0,5
2017-04,Libyen,248,59,59,0,230,1,47,44,25,47,66,588,34,1,42,44,24,47,64,0,5,0,1,0,2,0
201705,Libyen,248,89,87,2,203,7,48,14,18,70,46,467,27,7,45,14,15,69,42,0,3,0,3,1,1,3
2017-06,Libyen,248,92,89,3,119,2,9,8,9,44,47,433,23,2,9,8,9,43,42,0,0,0,0,1,1,4
2017-07,Libyen,248,119,110,9,112,1,11,18,3,29,50,428,30,1,11,18,3,28,46,0,0,0,0,1,3,1
2017-08,Libyen,248,118,109,9,142,2,19,14,6,42,59,405,31,2,19,14,6,41,49,0,0,0,0,1,2,8
2017-09,Libyen,248,123,109,14,146,0,22,2,6,19,97,383,31,0,15,2,6,19,83,0,7,0,0,0,6,8
2017-10,Libyen,248,128,119,9,145,8,14,2,16,32,73,372,37,8,14,2,12,31,68,0,0,0,4,1,2,3
2017-11,Libyen,248,209,197,12,144,1,13,3,14,27,86,442,32,1,8,2,12,27,78,0,5,1,2,0,6,2
2017-12,Libyen,248,134,127,7,156,2,16,5,4,52,77,439,30,2,16,5,4,51,68,0,0,0,0,1,3,6
2018-01,Libyen,248,167,163,4,187,2,3,6,14,60,102,427,19,2,3,6,10,58,91,0,0,0,4,2,6,5
2018-02,Libyen,248,86,81,5,141,0,2,2,5,33,99,378,19,0,2,2,4,31,94,0,0,0,1,2,1,4
2018-03,Libyen,248,92,82,10,183,0,5,6,9,45,118,293,21,0,4,6,8,44,111,0,1,0,1,1,3,4
2018-04,Libyen,248,92,87,5,143,2,12,8,14,40,67,278,20,2,12,8,6,39,61,0,0,0,8,1,0,6
2018-05,Libyen,248,73,72,1,107,0,8,1,1,47,50,280,10,0,8,1,1,45,40,0,0,0,0,2,3,7
2018-06,Libyen,248,42,39,3,116,1,8,1,14,33,59,227,8,1,8,1,14,33,53,0,0,0,0,0,2,4
2018-07,Libyen,248,72,63,9,99,0,3,3,4,41,48,216,11,0,3,2,4,40,45,0,0,1,0,1,0,3
2018-08,Libyen,248,88,79,9,92,0,5,5,6,37,39,224,14,0,5,5,6,35,33,0,0,0,0,2,1,5
2018-09,Libyen,248,73,66,7,74,1,2,2,4,31,34,237,13,1,2,2,4,30,27,0,0,0,0,1,4,3
2018-10,Libyen,248,63,57,6,95,0,5,10,5,13,62,229,13,0,5,10,5,12,57,0,0,0,0,1,2,3
2018-11,Libyen,248,44,42,2,91,1,4,9,2,47,28,205,9,1,4,9,1,45,25,0,0,0,1,2,0,3
2018-12,Libyen,248,45,37,8,51,1,10,4,2,21,13,223,15,1,9,4,2,21,10,0,1,0,0,0,0,3
2019-01,Libyen,248,54,45,9,99,2,7,16,7,32,35,202,13,0,7,14,7,32,29,2,0,2,0,0,3,3
