YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2015-01,Ungeklaert,998,510,475,35,399,7,314,0,0,33,45,2780,183,7,305,0,0,33,40,0,9,0,0,0,3,2
2015-02,Ungeklaert,998,284,266,18,365,2,273,0,1,20,69,2653,191,2,253,0,1,20,66,0,20,0,0,0,2,1
2015-03,Ungeklaert,998,400,380,20,295,5,165,0,0,32,93,2734,195,2,152,0,0,31,89,3,13,0,0,1,2,2
2015-04,Ungeklaert,998,377,345,32,291,1,133,0,0,40,117,2783,207,1,117,0,0,39,101,0,16,0,0,1,10,6
2015-05,Ungeklaert,998,497,460,37,211,3,117,0,2,27,62,3032,239,3,110,0,0,27,58,0,7,0,2,0,4,0
2015-06,Ungeklaert,998,570,533,37,321,7,176,0,1,65,72,3203,276,7,169,0,0,64,67,0,7,0,1,1,4,1
2015-07,Ungeklaert,998,705,672,33,319,7,219,1,0,27,65,3567,295,7,195,1,0,27,57,0,24,0,0,0,2,6
2015-08,Ungeklaert,998,857,823,34,353,0,325,0,1,13,14,4105,286,0,277,0,1,13,10,0,48,0,0,0,4,0
2015-09,Ungeklaert,998,730,703,27,267,0,237,1,0,10,19,4594,321,0,224,1,0,10,19,0,13,0,0,0,0,0
2015-10,Ungeklaert,998,1183,1164,19,542,1,494,0,0,34,13,5415,319,1,442,0,0,33,12,0,52,0,0,1,1,0
2015-11,Ungeklaert,998,1618,1601,17,296,1,244,2,8,20,21,6914,329,1,232,2,7,20,19,0,12,0,1,0,2,0
2015-12,Ungeklaert,998,3349,3338,11,614,1,552,1,0,36,24,10589,339,1,532,1,0,36,17,0,20,0,0,0,6,1
2016-01,Ungeklaert,998,2826,2799,27,1574,0,1532,1,0,18,23,12397,331,0,1499,1,0,17,21,0,33,0,0,1,2,0
2016-02,Ungeklaert,998,3397,3358,39,1123,6,1038,4,2,38,35,15306,353,3,1029,4,1,38,26,3,9,0,1,0,2,7
2016-03,Ungeklaert,998,1884,1869,15,791,1,661,27,4,40,58,16946,349,1,639,27,4,40,56,0,22,0,0,0,2,0
2016-04,Ungeklaert,998,1319,1299,20,629,0,394,102,2,36,95,17885,360,0,382,102,2,36,89,0,12,0,0,0,3,3
2016-05,Ungeklaert,998,1091,1077,14,484,4,269,110,1,31,69,18551,363,4,266,108,1,30,66,0,3,2,0,1,2,1
